"District","Dag","Maand","Jaar","Type","Electoraat","Opkomst","Stembriefjes","Geldig","Blanco"
"Tiel","8","6","1869","periodiek","2840","2109","2109","2066","14"
"Tiel","8","6","1869","tussentijds","2840","2109","2110","2063","18"
"Amersfoort","8","6","1869","periodiek","2864","1676","1676","1649","20"
"Utrecht","8","6","1869","periodiek","2752","1353","1353","1340","11"
"Hoorn","8","6","1869","periodiek","3473","2261","2262","2235","5"
"Alkmaar","8","6","1869","periodiek","3051","2333","2333","2323","3"
"Haarlem","8","6","1869","periodiek","2426","1408","1408","1392","14"
"Amsterdam","8","6","1869","periodiek","3964","2386","2384","7110","24"
"Haarlemmermeer","8","6","1869","periodiek","1282","909","909","902","2"
"Leiden","8","6","1869","periodiek","2704","1998","1998","1985","11"
"Gouda","8","6","1869","periodiek","3200","2414","2415","2397","9"
"Delft","8","6","1869","periodiek","2650","1951","1951","1927","21"
"Rotterdam","8","6","1869","periodiek","2515","1619","1619","3085","153"
"Brielle","8","6","1869","periodiek","1125","854","855","852","3"
"Den Haag","8","6","1869","periodiek","2032","1341","1341","1328","6"
"Dordrecht","8","6","1869","periodiek","2037","1547","1547","1539","8"
"Gorinchem","8","6","1869","periodiek","3102","1802","1804","1769","19"
"Middelburg","8","6","1869","periodiek","2733","1971","1972","1929","10"
"Zierikzee","8","6","1869","periodiek","1340","978","978","957","18"
"Breda","8","6","1869","periodiek","3902","3016","3020","2999","13"
"Tilburg","8","6","1869","periodiek","3152","1601","1602","1588","11"
"Eindhoven","8","6","1869","periodiek","2146","1076","1077","1059","17"
"Maastricht","8","6","1869","periodiek","2472","1144","1146","1097","48"
"Roermond","8","6","1869","periodiek","1893","1687","1687","1669","11"
"Boxmeer","8","6","1869","periodiek","2367","2164","2170","2142","22"
"Den Bosch","8","6","1869","periodiek","2764","2237","2237","2228","7"
"Zuidhorn","22","6","1869","herstemming","1417","672","672","667","3"
"Haarlemmermeer","22","6","1869","herstemming","1282","1111","1111","1102","6"
"Leiden","22","6","1869","herstemming","2704","2084","2084","2065","10"
"Gouda","22","6","1869","herstemming","3200","2643","2644","2634","9"
"Roermond","22","6","1869","herstemming","1893","1779","1780","1766","11"
"Amsterdam","12","10","1869","tussentijds","3964","1985","1982","1977","2"
"Zuidhorn","8","12","1869","tussentijds","1417","558","558","556","1"
"Amsterdam","8","2","1870","tussentijds","3964","2054","2055","2049","4"
"Alkmaar","16","8","1870","tussentijds","3154","1771","1771","1760","6"
"Alkmaar","30","8","1870","herstemming","3154","2344","2345","2333","7"
"Eindhoven","20","9","1870","tussentijds","2200","844","844","840","2"
